State/UT,Electric,Non-electric
Andaman and Nicobar Islands,190,161258
Andhra Pradesh,67905,16553509
Arunachal Pradesh,28,303673
Assam,120423,5312457
Bihar,161060,11631081
Chandigarh,7964,841172
Chhattisgarh,54848,7413951
Delhi,233212,13994966
Goa,12615,1206476
Gujarat,138410,22804558
Haryana,69271,12062205
Himachal Pradesh,2410,2178827
Jammu and Kashmir,10896,2055765
Jharkhand,36759,7057289
Karnataka,248747,29785247
Kerala,98332,16781110
Ladakh,65,44430
Madhya Pradesh,96151,19616269
Maharashtra,305006,34323748
Manipur,1203,554994
Meghalaya,139,519714
Mizoram,118,355369
Nagaland,62,418529
Odisha,62567,10638175
Puducherry,4588,1330320
Punjab,35727,13196875
Rajasthan,180670,18857703
Sikkim,20,109988
Tamil Nadu,173152,31618002
Tripura,14839,707543
Dadra and Nagar Haveli and Daman and Diu,354,374489
Uttar Pradesh,574967,43852548
Uttarakhand,49491,3647377
West Bengal,68376,15227219
